"Genus","Species","Kingdom","Phylum","Class","Order","Family","limit_type","Tpref","ref_Tpref","n_Tpref","ref_from_ref","notes_Tpref"
"Egernia","saxatilis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Egernia","striolata","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Elgaria","coerulea","Animalia","Chordata","Reptilia","Squamata","Anguidae","max",NA,NA,NA,NA,NA
"Elgaria","multicarinata","Animalia","Chordata","Reptilia","Squamata","Anguidae","max, min",NA,NA,NA,NA,NA
"Eremias","argus","Animalia","Chordata","Reptilia","Squamata","Lacertidae","max, min",NA,NA,NA,NA,NA
"Eremias","brenchleyi","Animalia","Chordata","Reptilia","Squamata","Lacertidae","max, min",NA,NA,NA,NA,NA
"Eremias","multiocellata","Animalia","Chordata","Reptilia","Squamata","Lacertidae","max, min",NA,NA,NA,NA,NA
"Eremiascincus","fasciolatus","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Eulamprus","heatwolei","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Eulamprus","kosciuskoi","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Eulamprus","murrayi","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Eulamprus","quoyii","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Eulamprus","tenuis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Eulamprus","tympanum","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Gambelia","wislizenii","Animalia","Chordata","Reptilia","Squamata","Crotaphytidae","min",NA,NA,NA,NA,NA
"Gehyra","variegata","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","max, min",NA,NA,NA,NA,NA
"Glaphyromorphus","punctulatus","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Hemachatus","haemachatus","Animalia","Chordata","Reptilia","Squamata","Elapidae","max, min",NA,NA,NA,NA,NA
"Hemidactylus","frenatus","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","max, min",NA,NA,NA,NA,NA
"Hemidactylus","turcicus","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","max, min",NA,NA,NA,NA,NA
"Hemiergis","decresiensis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Hemiergis","quadrilineatum","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Heteronotia","binoei","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","max, min",NA,NA,NA,NA,NA
"Holbrookia","maculata","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max",NA,NA,NA,NA,NA
"Hoplodactylus","maculatus","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","min",NA,NA,NA,NA,NA
"Lacerta","agilis","Animalia","Chordata","Reptilia","Squamata","Lacertidae","max, min",NA,NA,NA,NA,NA
"Lacerta","schreiberi","Animalia","Chordata","Reptilia","Squamata","Lacertidae","max",NA,NA,NA,NA,NA
"Lampropeltis","zonata","Animalia","Chordata","Reptilia","Squamata","Colubridae","max",NA,NA,NA,NA,NA
"Lampropholis","delicata","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Lampropholis","guichenoti","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Lepidophyma","flavimaculatum","Animalia","Chordata","Reptilia","Squamata","Xantusiidae","max, min",NA,NA,NA,NA,NA
"Lerista","frosti","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Lerista","neander","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Lerista","orientalis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Lerista","terdigitata","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Liolaemus","abaucan","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","albiceps","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","alticolor","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","bibronii","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","bisignatus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","boulengeri","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","canqueli","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","capillitas","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","chacoensis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","chiliensis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","constanzae","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","curis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","cuyanus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","cyanogaster","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","darwinii","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","eleodori","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","elongatus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","fabiani","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","fitzgeraldi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
