"binomial","acc_name"
"Galaxias fasciatus","Galaxias fasciatus"
"Galaxias maculatus","Galaxias maculatus"
"Gambelia wislizenii","Gambelia wislizenii"
"Gambusia yucatana","Gambusia yucatana"
"Gehyra variegata","Gehyra variegata"
"Gibbula cineraria","Gibbula cineraria"
"Gila coerulea","Gila coerulea"
"Gila elegans","Gila elegans"
"Gila robusta","Gila robusta"
"Gillichthys mirabilis","Gillichthys mirabilis"
"Girella nigricans","Girella nigricans"
"Gobiesox strumosus","Gobiesox strumosus"
"Gobius cobitis","Gobius cobitis"
"Gobius niger","Gobius niger"
"Gobius paganellus","Gobius paganellus"
"Haemulon steindachneri","Haemulon steindachneri"
"Halozetes belgicae","Halozetes belgicae"
"Halozetes fulvus","Halozetes fulvus"
"Halozetes marinus","Halozetes marinus"
"Halozetes marionensis","Halozetes marionensis"
"Heloderma suspectum","Heloderma suspectum"
"Hemidactylus frenatus","Hemidactylus frenatus"
"Hemidactylus turcicus","Hemidactylus turcicus"
"Hemigrapsus nudus","Hemigrapsus nudus"
"Heteronotia binoei","Heteronotia binoei"
"Holbrookia maculata","Holbrookia maculata"
"Hybognathus placitus","Hybognathus placitus"
"Hypentelium nigricans","Hypentelium nigricans"
"Ictiobus bubalus","Ictiobus bubalus"
"Kuhlia sandvicensis","Kuhlia sandvicensis"
"Labidesthes sicculus","Labidesthes sicculus"
"Lampropholis delicata","Lampropholis delicata"
"Lasius alienus","Lasius alienus"
"Lasius fallax","Lasius fallax"
"Lasius nearcticus","Lasius nearcticus"
"Lepidodactylus lugubris","Lepidodactylus lugubris"
"Lepomis humilis","Lepomis humilis"
"Lepomis megalotis","Lepomis megalotis"
"Lepomis microlophus","Lepomis microlophus"
"Leptocottus armatus","Leptocottus armatus"
"Limnodynastes Salmini","Limnodynastes Salmini"
"Liolaemus abaucan","Liolaemus abaucan"
"Liolaemus albiceps","Liolaemus albiceps"
"Liolaemus alticolor","Liolaemus alticolor"
"Liolaemus bibronii","Liolaemus bibronii"
"Liolaemus boulengeri","Liolaemus boulengeri"
"Liolaemus canqueli","Liolaemus canqueli"
"Liolaemus capillitas","Liolaemus capillitas"
"Liolaemus chacoensis","Liolaemus chacoensis"
"Liolaemus chiliensis","Liolaemus chiliensis"
