"Realm","Class","Order","Family","Genus","Species","Tmin","Tmax","Metric_Tmin","Metric_Tmax","RealizedRangeSource","AbsLatitude","RangeSize","LogBodySize","DispersalDistance","HotSeasonDormancy","ColdSeasonDormancy","NicheFilling_Warm","NicheFilling_Cool","LogRangeFilling","EquatorwardBiasInUnderfilling","NicheFilling_Warm_Behaviour","NicheFilling_Warm_Acclimation","NicheFilling_Cool_Acclimation","LogRangeFilling_Acclimation","EquatorwardBiasInUnderfilling_Acclimation"
"Marine","Bivalvia","Veneroida","Solnoidea","Ensis","macha",NA,25,NA,"lt","GBIF",35.3432960117106,36,2.9391619220656,100,"No",NA,1.6599998474121,NA,NA,NA,NA,-2.72,NA,NA,NA
"Marine","Bivalvia","Veneroida","Veneridae","Gemma","gemma",NA,35,NA,"lt","GBIF",38.6895513723674,68,-0.693147180559945,10,"No",NA,-2.1599998474122,NA,NA,NA,NA,-4.09,NA,NA,NA
"Marine","Echinoidea","Camarodonta","Echinometridae","Echinometra","lucunter",NA,37.1,NA,"ct","GBIF",21.962541821705,77,2.70805020110221,100,"No",NA,-2.310001373291,NA,NA,NA,NA,-2.31,NA,NA,NA
"Marine","Echinoidea","Camarodonta","Temnopleuridae","Pseudechinus","huttoni",NA,26.8,NA,"ct","GBIF",41.3834991345492,16,1.38629436111989,100,"No",NA,-2.079999923706,NA,NA,NA,NA,-2.32,NA,NA,NA
"Marine","Echinoidea","Cidaroida","Cidaridae","Eucidaris","tribuloides",NA,36,NA,"ct","GBIF",5.54394367802067,132,2.56494935746154,10,"No",NA,-1.3899993896485,NA,NA,NA,NA,-2.31,NA,NA,NA
"Marine","Echinoidea","Echinoida","Echinidae","Sterechinus","neumayeri",NA,19.3,NA,"ct","GBIF",61.8250199570615,19,1.94591014905531,1000,"No",NA,-3.7499990463257,NA,NA,NA,NA,-1.23,NA,NA,NA
"Marine","Malacostraca","Decapoda","Cancridae","Metacarcinus","magister",NA,33.5,NA,"lt","GBIF",44.4118517721676,39,3.11351530921037,1000,"No",NA,-6.1300010681152,NA,NA,NA,NA,-9.29,NA,NA,NA
"Marine","Malacostraca","Decapoda","Crangonidae","Crangon","crangon",NA,33.8,NA,"ct","GBIF",50.9002413345637,163,2.18605127673809,100,"No",NA,-2.8200016021729,NA,NA,NA,NA,-4.8,NA,NA,NA
"Marine","Malacostraca","Decapoda","Portunidae","Liocarcinus","marmoreus",NA,32.2,NA,"ct","GBIF",47.5260058046602,82,1.09861228866811,100,"No",NA,-1.2399997711182,NA,NA,NA,NA,-2.82,NA,NA,NA
"Marine","Neogastropoda","Nassariidae","Nassariidae","Bullia","rhodostoma",NA,34.7,NA,"lt","GBIF",30.3158505244786,8,1.38629436111989,1000,"No",NA,-5.019998550415,NA,NA,NA,NA,-7.26,NA,NA,NA
"Marine","Rhynchonellata","Terebratulida","Terebratulidae","Liothyrella","neozelanica",NA,29.4,NA,"ct","GBIF",43.9597840445441,18,1.6094379124341,10,"No",NA,-4.6800003051758,NA,NA,NA,NA,-5.92,NA,NA,NA
"Terrestrial","Amphibia","Anura","Bufonidae","Anaxyrus","compactilis",NA,36.9,NA,"ct","IUCN",23.4900481455001,47,2.18605127673809,10,"No",NA,-2.5154685974121,NA,NA,NA,-2.5154685974121,-3.77054,NA,NA,NA
"Terrestrial","Amphibia","Anura","Centrolenidae","Hyalinobatrachium","fleischmanni",2.5,NA,"lt",NA,"IUCN",11.593506801,76,1.16315080980568,1,NA,"No",NA,0.25139546394348,NA,NA,NA,NA,-1.5372357,NA,NA
"Terrestrial","Amphibia","Anura","Ceratobatrachidae","Platymantis","banahao",NA,33.8,NA,"ct","IUCN",14.0642100065,1,1.28923264827676,1,"No",NA,0.717788696289098,NA,NA,NA,NA,-4.93971,NA,NA,NA
"Terrestrial","Amphibia","Anura","Ceratobatrachidae","Platymantis","corrugatus",NA,33.7,NA,"ct","IUCN",12.1031801700001,24,1.22082992139236,1,"No",NA,0.845485687255902,NA,NA,NA,NA,-4.95038,NA,NA,NA
"Terrestrial","Amphibia","Anura","Ceratobatrachidae","Platymantis","dorsalis",NA,32.9,NA,"ct","IUCN",12.416854908,9,1.26412672714568,1,"No",NA,1.6281929016113,NA,NA,NA,NA,-4.52332,NA,NA,NA
"Terrestrial","Amphibia","Anura","Ceratobatrachidae","Platymantis","luzonensis",NA,34.7,NA,"ct","IUCN",14.1446324655001,3,1.17865499634165,1,"No",NA,-0.123863220214901,NA,NA,NA,NA,-5.79324,NA,NA,NA
"Terrestrial","Amphibia","Anura","Dendrobatidae","Dendrobates","auratus",9.5,34.8,"lt","ct","IUCN",13.5207421030001,17,1.43508452528932,1,"No","No",-0.807968139648395,-8.2570466995239,-4.22123631407672,0.0463194578896419,NA,-4.13363,-9.500628,-4.27992876465087,0.0370725648262589
